episode,t,profit,price,P,P_cmd,on,started,revenue,var_cost,no_load,startup,ramp_cost
1,31,1971.2041937687272,38.95,212.4601287841797,227.3735809326172,1,0,4137.6610080719,2001.4568143031727,150.0,0.0,15.0
1,32,1567.3881569371113,37.83,182.4601287841797,7.515920162200928,1,0,3451.233335952759,1718.8451790156475,150.0,0.0,15.0
1,33,1793.7999862339368,37.28,212.4601287841797,247.05419921875,1,0,3960.2568005371095,2001.4568143031727,150.0,0.0,15.0
1,34,2024.3209264774173,36.9,242.4601287841797,244.83828735351562,1,0,4473.389376068115,2284.0684495906976,150.0,0.0,15.0
1,35,1946.5570657972012,35.85,246.7736053466797,246.7736053466797,1,0,4423.416875839233,2324.703071760782,150.0,0.0,2.15673828125
1,36,2507.141814939608,38.15,276.7736053466797,377.4992370605469,1,0,5279.456521987915,2607.314707048307,150.0,0.0,15.0
1,37,2590.1527166097358,38.95,272.7281188964844,272.7281188964844,1,0,5311.380115509033,2569.2046556742,150.0,0.0,2.0227432250976562
1,38,3370.2409113455033,47.97,242.72811889648438,143.80316162109375,1,0,5821.833931732178,2286.5930203866747,150.0,0.0,15.0
1,39,3681.041884554171,55.0,212.72811889648438,174.81277465820312,1,0,5850.02326965332,2003.9813850991497,150.0,0.0,15.0
1,40,3978.2748491811963,52.98,242.72811889648438,279.052490234375,1,0,6429.867869567871,2286.5930203866747,150.0,0.0,15.0
1,41,3318.340441835665,51.59,212.72811889648438,24.09018898010254,1,0,5487.321826934814,2003.9813850991497,150.0,0.0,15.0
1,42,3314.4134439993113,47.51,242.72811889648438,266.7066955566406,1,0,5766.006464385986,2286.5930203866747,150.0,0.0,15.0
1,43,3053.5117779237135,42.82,268.2551574707031,268.2551574707031,1,0,5743.342921447754,2527.067624236931,150.0,0.0,12.763519287109375
1,44,2521.234494906795,41.39,238.25515747070312,84.15302276611328,1,0,4930.690483856201,2244.455988949406,150.0,0.0,15.0
1,45,2126.7672376772302,40.85,208.25515747070312,51.570518493652344,1,0,4253.611591339111,1961.844353661881,150.0,0.0,15.0
1,46,2275.243970773593,46.22,178.25515747070312,126.17134094238281,1,0,4119.476689147949,1679.2327183743562,150.0,0.0,15.0
1,47,2471.660475903647,54.41,148.25515747070312,145.48431396484375,1,0,4033.281558990478,1396.6210830868313,150.0,0.0,15.0
