episode,t,reward,price,P,P_cmd,on,started,revenue,var_cost,no_load,startup,ramp_cost
1,20,0.0,60.0,0.0,134.3663783109729,0,0,0.0,0.0,0.0,0.0,0.0
1,21,0.0,62.51,0.0,225.54206808466165,0,0,0.0,0.0,0.0,0.0,0.0
1,22,0.0,50.61,0.0,181.79106202087104,0,0,0.0,0.0,0.0,0.0,0.0
1,23,-19331.5287625445,58.2,100.0,205.28386568797,1,1,1455.0,486.5287625445,200.0,20000.0,100.0
1,24,1200.08185618325,58.13,150.0,258.279281890133,1,0,2179.875,729.79314381675,200.0,0.0,50.0
1,25,1658.4424749109999,57.63,200.0,254.97527713046867,1,0,2881.5,973.057525089,200.0,0.0,50.0
1,26,1391.7349660370503,51.02,202.0018965054316,202.0018965054316,1,0,2576.53418992678,982.797327384298,200.0,0.0,2.0018965054316027
1,27,981.5516468221363,51.87,152.0018965054316,146.38632263892612,1,0,1971.0845929341842,739.532946112048,200.0,0.0,50.0
1,28,618.7932329065319,46.11,126.69906313688475,126.69906313688475,1,0,1460.5234503104389,616.4273840353601,200.0,0.0,25.302833368546857
1,29,807.543694854984,46.8,150.96624737826593,150.96624737826593,1,0,1766.3050943257113,734.494215229346,200.0,0.0,24.267184241381187
1,30,384.2914086921237,44.59,100.96624737826593,97.57888112443626,1,0,1125.5212426492196,491.22983395709593,200.0,0.0,50.0
1,31,287.9660184913233,38.95,100.29137713436648,100.29137713436648,1,0,976.5872848458937,487.9463961106709,200.0,0.0,0.6748702438994485
1,32,279.205208944179,37.83,105.4820239732491,105.4820239732491,1,0,997.5962417270033,513.2003859439417,200.0,0.0,5.190646838882614
1,33,430.2908309140003,37.28,151.91099867130083,151.91099867130083,1,0,1415.8105076165239,739.0907020044718,200.0,0.0,46.42897469805173
1,34,528.5690215164522,36.9,171.63910435086896,171.63910435086896,1,0,1583.370737636766,835.0736104407458,200.0,0.0,19.72810567956813
1,35,581.4356759255487,35.85,196.8856177201261,196.8856177201261,1,0,1764.5873488166303,957.9051595218244,200.0,0.0,25.246513369257144
1,36,498.41538136164877,38.15,157.83982332854978,157.83982332854978,1,0,1505.3973149960434,767.9361392428183,200.0,0.0,39.04579439157632
1,37,557.6313760939959,38.95,155.89885736922457,155.89885736922457,1,0,1518.0651236328245,758.4927815795033,200.0,0.0,1.9409659593252115
1,38,1217.4848841486723,47.97,205.89885736922457,209.40689809300895,1,0,2469.242047000426,1001.7571628517534,200.0,0.0,50.0
1,39,2023.5877447028342,55.0,255.89885736922457,297.49526007692236,1,0,3518.6092888268377,1245.0215441240034,200.0,0.0,50.0
1,40,1487.5005374227414,52.98,207.19178981052355,207.19178981052355,1,0,2744.255256040384,1008.0476510589417,200.0,0.0,48.70706755870103
1,41,1815.819076750036,51.59,257.1917898105236,296.6600765464333,1,0,3317.131109081228,1251.3120323311919,200.0,0.0,50.00000000000003
1,42,1904.094069871052,47.51,307.1917898105236,362.68896204292025,1,0,3648.6704834744937,1494.5764136034418,200.0,0.0,50.0
1,43,1835.8973150459633,42.82,357.1917898105236,385.14248933954303,1,0,3823.738109921655,1737.840794875692,200.0,0.0,50.0
