split,episode,t,DAM,BM,ref,side,q,delta,limit,cleared,reward
train,1,34,89.68000030517578,42.459999084472656,67.80000305175781,0,1.0,45.0,112.80000305175781,0,0.0
train,1,35,89.68000030517578,42.459999084472656,67.80000305175781,1,1.0,20.0,87.80000305175781,0,0.0
train,1,36,89.68000030517578,44.68000030517578,56.0,0,1.0,-15.0,41.0,1,0.45
train,1,37,89.68000030517578,44.68000030517578,56.0,1,1.0,-50.0,6.0,0,0.0
train,1,38,85.27999877929688,44.93000030517578,54.11000061035156,0,1.0,-45.0,9.110000610351562,1,0.40349998474121096
train,1,39,85.27999877929688,44.93000030517578,54.11000061035156,1,1.0,-5.0,49.11000061035156,0,0.0
train,1,40,87.70999908447266,40.720001220703125,51.0,1,1.0,-50.0,1.0,0,0.0
train,1,41,87.70999908447266,40.720001220703125,51.0,0,1.0,0.0,51.0,1,0.46989997863769534
train,1,42,80.0,41.97999954223633,47.61000061035156,0,1.0,50.0,97.61000061035156,0,0.0
train,1,43,80.0,41.97999954223633,47.61000061035156,1,1.0,-35.0,12.610000610351562,0,0.0
train,1,44,85.48999786376953,40.400001525878906,48.70000076293945,0,1.0,5.0,53.70000076293945,1,0.45089996337890625
train,1,45,85.48999786376953,40.400001525878906,48.70000076293945,1,1.0,40.0,88.70000076293945,1,-0.45089996337890625
train,1,46,94.95999908447266,99.37999725341797,56.22999954223633,1,1.0,-40.0,16.229999542236328,0,0.0
train,1,47,94.95999908447266,99.37999725341797,56.22999954223633,0,1.0,-50.0,6.229999542236328,1,-0.044199981689453126
train,1,48,145.0,118.69000244140625,80.02999877929688,0,1.0,-50.0,30.029998779296875,1,0.2630999755859375
train,1,49,145.0,118.69000244140625,80.02999877929688,1,1.0,-30.0,50.029998779296875,0,0.0
train,1,50,190.0,160.19000244140625,96.66999816894531,0,1.0,-25.0,71.66999816894531,1,0.2980999755859375
train,1,51,190.0,160.19000244140625,96.66999816894531,1,1.0,-20.0,76.66999816894531,0,0.0
train,1,52,141.52000427246094,275.25,74.4000015258789,0,1.0,-10.0,64.4000015258789,1,-1.3372999572753907
train,1,53,141.52000427246094,275.25,74.4000015258789,1,1.0,50.0,124.4000015258789,0,0.0
train,1,54,107.06999969482422,146.77000427246094,57.45000076293945,1,1.0,35.0,92.45000076293945,0,0.0
train,1,55,107.06999969482422,146.77000427246094,57.45000076293945,0,1.0,25.0,82.45000076293945,1,-0.3970000457763672
