split,episode,t,DAM,BM,ref,side,q,delta,limit,cleared,reward
val,10,24,95.0,120.27999877929688,151.25999450683594,0,24.5,-30.0,121.25999450683594,0,-6.193599700927734
val,10,25,96.31999969482422,111.93000030517578,151.25999450683594,0,42.0,-30.0,121.25999450683594,0,-6.5562002563476565
val,10,26,98.94000244140625,83.12000274658203,152.0,1,15.0,-30.0,122.0,1,-2.447999954223633
val,10,27,100.0,109.54000091552734,152.1699981689453,0,33.70000076293945,-30.0,122.16999816894531,0,-3.2149803813171456
val,10,28,103.70999908447266,82.1500015258789,180.19000244140625,0,93.30000305175781,-18.0,162.19000244140625,0,20.11547838012688
val,10,29,120.0,77.5199966430664,189.1300048828125,1,118.19999694824219,-18.0,171.1300048828125,1,-50.8023626562499
val,10,30,130.89999389648438,118.01000213623047,189.1300048828125,1,161.3000030517578,-18.0,171.1300048828125,1,-21.59805711791967
val,10,31,147.69000244140625,158.67999267578125,179.05999755859375,1,102.4000015258789,-18.0,161.05999755859375,1,10.741750160064548
val,10,32,150.08999633789062,154.50999450683594,168.60000610351562,1,6.800000190734863,-18.0,150.60000610351562,1,0.2665598829650844
val,10,33,157.4600067138672,113.55999755859375,159.13999938964844,0,98.9000015258789,-18.0,141.13999938964844,1,42.92260971679701
val,10,34,148.0399932861328,137.35000610351562,150.11000061035156,0,53.70000076293945,-18.0,132.11000061035156,1,5.4720231948088625
val,10,35,135.7899932861328,120.1500015258789,143.8699951171875,1,56.79999923706055,-18.0,125.8699951171875,0,-8.883515200500552
val,10,36,135.75999450683594,148.02999877929688,140.0,1,76.80000305175781,-18.0,122.0,0,9.423363655700815
val,10,37,152.2100067138672,180.57000732421875,151.86000061035156,1,65.0999984741211,-18.0,133.86000061035156,0,18.4623599645996
val,10,38,192.47000122070312,231.83999633789062,157.6699981689453,0,15.0,-18.0,139.6699981689453,1,-5.980499267578125
val,10,39,218.38999938964844,279.8299865722656,168.66000366210938,0,139.8000030517578,-18.0,150.66000366210938,1,-86.59210397155722
val,10,40,214.9199981689453,199.3800048828125,157.60000610351562,0,64.30000305175781,-18.0,139.60000610351562,1,9.670716141967569
val,10,41,218.02000427246094,197.86000061035156,157.60000610351562,0,88.69999694824219,-18.0,139.60000610351562,1,17.438422648315317
val,10,42,231.83999633789062,188.5500030517578,151.86000061035156,0,174.0,-18.0,133.86000061035156,1,74.4545883178711
val,10,43,179.0,230.2100067138672,136.7899932861328,1,12.0,-18.0,118.78999328613281,0,6.145200805664063
val,10,44,126.69999694824219,114.55000305175781,104.4000015258789,1,184.39999389648438,-30.0,74.4000015258789,0,-22.40458800354041
val,10,45,113.19000244140625,178.80999755859375,97.66000366210938,0,48.79999923706055,-18.0,79.66000366210938,1,-32.266557112731974
val,10,46,113.19000244140625,157.8699951171875,96.05999755859375,1,44.400001525878906,-18.0,78.05999755859375,0,19.83791742980946
val,10,47,113.19000244140625,169.6199951171875,91.0,1,8.800000190734863,-18.0,73.0,0,4.965839463100419
val,10,48,106.91999816894531,141.5800018310547,95.0,0,52.400001525878906,-30.0,65.0,1,-18.423842455444394
val,10,49,106.70999908447266,123.31999969482422,96.31999969482422,0,56.29999923706055,-30.0,66.31999969482422,1,-9.632930213088985
val,10,50,106.93000030517578,172.52999877929688,98.94000244140625,0,4.599999904632568,-30.0,68.94000244140625,1,-3.0405998667716996
val,10,51,106.69999694824219,117.94999694824219,100.0,0,80.5,-30.0,70.0,1,-9.45875
val,10,52,124.01000213623047,133.4199981689453,103.70999908447266,1,151.1999969482422,-30.0,73.70999908447266,0,14.227913714294555
val,10,53,191.22000122070312,205.5500030517578,120.0,0,112.0,-18.0,102.0,1,-16.609602050781252
val,10,54,202.02999877929688,325.1400146484375,130.89999389648438,0,209.10000610351562,-18.0,112.89999389648438,1,-258.46855072692966
val,10,55,213.5800018310547,344.17999267578125,147.69000244140625,0,254.3000030517578,-18.0,129.69000244140625,1,-333.38728071899385
val,10,56,215.0,379.2300109863281,150.08999633789062,0,546.2999877929688,-18.0,132.08999633789062,1,-899.9200299096666
val,10,57,215.0,210.35000610351562,157.4600067138672,0,605.5999755859375,-18.0,139.4600067138672,1,25.13236202392727
val,10,58,205.0,208.82000732421875,148.0399932861328,0,516.2000122070312,-18.0,130.0399932861328,1,-22.299878334961832
val,10,59,197.1999969482422,168.0,135.7899932861328,0,465.6000061035156,-18.0,117.78999328613281,1,133.6271875427244
val,10,60,210.6999969482422,185.00999450683594,135.75999450683594,0,358.70001220703125,-18.0,117.75999450683594,1,90.3565418322757
val,10,61,233.0,218.17999267578125,152.2100067138672,0,392.8999938964844,-18.0,134.2100067138672,1,56.263307902831585
val,10,62,249.1300048828125,363.6400146484375,192.47000122070312,0,365.20001220703125,-18.0,174.47000122070312,1,-420.01656970337035
val,10,63,248.5399932861328,213.82000732421875,218.38999938964844,0,235.3000030517578,-18.0,200.38999938964844,1,80.51962801269488
val,10,64,244.1999969482422,233.77000427246094,214.9199981689453,0,185.5,-18.0,196.9199981689453,1,18.42013641357422
val,10,65,232.1199951171875,156.10000610351562,218.02000427246094,0,228.1999969482422,-18.0,200.02000427246094,1,172.33661262451207
val,10,66,233.5,116.43000030517578,231.83999633789062,0,364.3999938964844,-18.0,213.83999633789062,1,424.7810717730713
val,10,67,175.0,208.1999969482422,179.0,0,121.30000305175781,-18.0,161.0,1,-40.87809732666006
val,10,68,156.0,116.58000183105469,126.69999694824219,0,68.0,-18.0,108.69999694824219,1,26.465598754882812
val,10,69,137.47999572753906,166.72999572753906,113.19000244140625,0,258.70001220703125,-18.0,95.19000244140625,1,-76.9632536315918
val,10,70,137.47999572753906,155.41000366210938,113.19000244140625,0,192.8000030517578,-18.0,95.19000244140625,1,-35.53305586029077
val,10,71,130.0,155.2100067138672,113.19000244140625,0,158.39999389648438,-18.0,95.19000244140625,1,-40.72464906555135
val,10,72,128.64999389648438,130.72000122070312,106.91999816894531,0,268.8999938964844,-30.0,76.91999816894531,1,-6.9107495379634205
val,10,73,128.0,143.14999389648438,106.70999908447266,0,499.1000061035156,-30.0,76.70999908447266,1,-78.10912049255334
val,10,74,134.52999877929688,132.5,106.93000030517578,0,347.79998779296875,-30.0,76.93000030517578,1,5.321335567627102
val,10,75,166.0399932861328,122.54000091552734,106.69999694824219,1,23.100000381469727,-30.0,76.69999694824219,0,-10.048498403549166
val,10,76,258.3699951171875,244.6699981689453,124.01000213623047,0,331.79998779296875,-18.0,106.01000213623047,1,43.797588262939826
val,10,77,276.0,362.489990234375,191.22000122070312,0,673.7999877929688,-18.0,173.22000122070312,1,-586.1385435803235
val,10,78,274.29998779296875,195.91000366210938,202.02999877929688,0,702.7000122070312,-18.0,184.02999877929688,1,547.3329279956035
val,10,79,275.7699890136719,220.4199981689453,213.5800018310547,0,734.7000122070312,-18.0,195.5800018310547,1,402.9828894317616
val,10,80,276.0,218.47000122070312,215.0,0,828.5999755859375,-18.0,197.0,1,472.55055596191437
val,10,81,274.05999755859375,312.4800109863281,215.0,0,834.0999755859375,-18.0,197.0,1,-324.63182249877605
val,10,82,255.0,285.1700134277344,205.0,0,687.5999755859375,-18.0,187.0,1,-210.88700484130533
val,10,83,228.3000030517578,238.82000732421875,197.1999969482422,0,552.7999877929688,-18.0,179.1999969482422,1,-60.9185822729487
val,10,84,228.3000030517578,196.33999633789062,210.6999969482422,0,504.8999938964844,-18.0,192.6999969482422,1,158.841571978149
val,10,85,249.10000610351562,312.69000244140625,233.0,0,524.0999755859375,-18.0,215.0,1,-335.895655159913
val,10,86,274.70001220703125,319.9599914550781,249.1300048828125,0,390.20001220703125,-18.0,231.1300048828125,1,-178.55544461181387
val,10,87,272.0,324.4200134277344,248.5399932861328,0,283.20001220703125,-18.0,230.5399932861328,1,-149.86948448730632
val,10,88,262.6400146484375,451.2900085449219,244.1999969482422,0,135.10000610351562,-18.0,226.1999969482422,1,-255.54165329894983
val,10,89,250.86000061035156,316.7200012207031,232.1199951171875,0,99.69999694824219,-18.0,214.1199951171875,1,-66.16091858337401
val,10,90,224.0,276.75,233.5,0,36.599998474121094,-18.0,215.5,1,-19.489499187469484
val,10,91,174.39999389648438,182.9199981689453,175.0,1,229.60000610351562,-18.0,157.0,0,19.561930329590105
val,10,92,158.80999755859375,153.77999877929688,156.0,0,52.0,-18.0,138.0,1,2.355599365234375
