split,episode,steps,ep_return,clear_rate_buy,clear_rate_sell,loss,eps,beta
train,108,96,13135.49001300704,64.40677966101694,59.45945945945946,248.7017822265625,0.9395040000000279,0.4955199999999188
val,108,96,-2118.4646431291662,nan,nan,nan,nan,nan
train,109,96,-739.0871957277351,57.14285714285714,65.95744680851064,328.7930908203125,0.9385920000000283,0.4969599999999176
val,109,96,-132.19113882833238,nan,nan,nan,nan,nan
train,110,96,-2488.6342088613387,41.07142857142857,57.49999999999999,306.6571960449219,0.9376800000000287,0.49839999999991635
val,110,96,22154.828124393363,nan,nan,nan,nan,nan
train,111,96,2610.794695028108,40.0,51.64835164835166,285.10308837890625,0.9367680000000291,0.49983999999991513
val,111,96,10536.342336367734,nan,nan,nan,nan,nan
train,112,96,-2360.1234045489973,50.0,47.77777777777778,360.5608215332031,0.9358560000000296,0.5012799999999139
val,112,96,-459.8356645874019,nan,nan,nan,nan,nan
train,113,96,-3095.737760218227,63.63636363636363,37.83783783783784,322.8162841796875,0.93494400000003,0.5027199999999127
val,113,96,-5508.438974793432,nan,nan,nan,nan,nan
train,114,96,12033.315093431685,54.54545454545454,58.82352941176471,354.7876892089844,0.9340320000000304,0.5041599999999115
val,114,96,8266.05904647476,nan,nan,nan,nan,nan
train,115,96,-444.126463744018,73.68421052631578,54.54545454545454,164.9856414794922,0.9331200000000308,0.5055999999999102
val,115,96,5248.855974667717,nan,nan,nan,nan,nan
train,116,96,-637.9946474939179,51.388888888888886,66.66666666666666,231.53497314453125,0.9322080000000312,0.507039999999909
val,116,96,752.6643623118063,nan,nan,nan,nan,nan
train,117,96,625.9801410123877,44.44444444444444,41.66666666666667,326.57275390625,0.9312960000000317,0.5084799999999078
val,117,96,11425.671636085113,nan,nan,nan,nan,nan
train,118,96,-6981.323372253258,69.56521739130434,56.16438356164384,386.4903259277344,0.9303840000000321,0.5099199999999066
val,118,96,-2460.204389537303,nan,nan,nan,nan,nan
train,119,96,2036.895068040748,53.84615384615385,37.34939759036144,291.7697448730469,0.9294720000000325,0.5113599999999053
val,119,96,19332.57104656733,nan,nan,nan,nan,nan
train,120,96,1658.3453575569063,67.74193548387096,35.294117647058826,289.4970397949219,0.9285600000000329,0.5127999999999041
val,120,96,-6930.083353789024,nan,nan,nan,nan,nan
train,121,96,-896.5739680935787,0.0,44.21052631578947,114.11026000976562,0.9276480000000333,0.5142399999999029
val,121,96,10352.56516023721,nan,nan,nan,nan,nan
train,122,96,2815.1221920844173,83.87096774193549,64.61538461538461,291.51141357421875,0.9267360000000338,0.5156799999999017
val,122,96,4497.866261350581,nan,nan,nan,nan,nan
train,123,96,-1964.97901317573,56.666666666666664,48.484848484848484,263.00360107421875,0.9258240000000342,0.5171199999999004
val,123,96,4932.014756239818,nan,nan,nan,nan,nan
train,124,96,-2989.090860808057,93.33333333333333,48.148148148148145,491.1650085449219,0.9249120000000346,0.5185599999998992
val,124,96,-2878.2966275561903,nan,nan,nan,nan,nan
train,125,96,-241.18120754297973,55.55555555555556,60.0,223.5051727294922,0.924000000000035,0.519999999999898
val,125,96,1299.8566820814112,nan,nan,nan,nan,nan
train,126,96,538.9340741331426,55.55555555555556,49.275362318840585,245.1225128173828,0.9230880000000354,0.5214399999998968
val,126,96,-2650.454666887642,nan,nan,nan,nan,nan
train,127,96,-290.7297348031082,36.0,41.30434782608695,245.82077026367188,0.9221760000000359,0.5228799999998955
val,127,96,22011.414833209317,nan,nan,nan,nan,nan
train,128,96,-1972.7664917449888,61.111111111111114,53.333333333333336,214.07568359375,0.9212640000000363,0.5243199999998943
val,128,96,15222.701697408333,nan,nan,nan,nan,nan
train,129,96,993.441777974675,53.70370370370371,57.14285714285714,223.853759765625,0.9203520000000367,0.5257599999998931
val,129,96,10915.614901319364,nan,nan,nan,nan,nan
