episode,t,reward,price,P,P_cmd,on,started,revenue,var_cost,no_load,startup,ramp_cost
1,21,4.132034776497353,62.51,198.5695798415216,214.21324900815114,1,0,6206.292217946758,1774.257441449406,300.0,0.0,0.0
1,22,2.844775862792867,50.61,192.10829956512302,192.10829956512302,1,0,4861.300520495438,1716.5246577025712,300.0,0.0,0.0
1,23,3.8078720371360486,58.2,203.71491563207096,203.71491563207096,1,0,5928.104044893265,1820.232007757217,300.0,0.0,0.0
1,24,4.332418156499507,58.13,230.12729658471494,230.12729658471494,1,0,6688.64987523474,2056.231718735233,300.0,0.0,0.0
1,25,4.240336118937013,57.63,228.3893414460937,228.3893414460937,1,0,6581.03887376919,2040.7027548321769,300.0,0.0,0.0
1,26,3.044430382944433,51.02,201.77793342117283,201.77793342117283,1,0,5147.355081574119,1802.9246986296862,300.0,0.0,0.0
1,27,2.652811116670426,51.87,173.69673950549821,173.69673950549821,1,0,4504.824939075096,1552.01382240467,300.0,0.0,0.0
1,28,2.0129936021371404,46.11,163.81197968855957,163.81197968855957,1,0,3776.685191719741,1463.6915895826003,300.0,0.0,0.0
1,29,2.1564411496914238,46.8,175.71597281022673,175.71597281022673,1,0,4111.753763759305,1655.3126140678817,300.0,0.0,0.0
1,30,1.6173537718742634,44.59,148.92516749092908,148.92516749092908,1,0,3320.286609210264,1402.9328373360006,300.0,0.0,0.0
1,31,1.2108706876042823,38.95,150.2664313650348,150.2664313650348,1,0,2926.438750834053,1415.5680632297706,300.0,0.0,0.0
1,32,1.1519789444135098,37.83,152.9266198967808,152.9266198967808,1,0,2892.607015347609,1440.6280709340992,300.0,0.0,0.0
1,33,1.3250974078386042,37.28,176.26526801240823,176.26526801240823,1,0,3285.5845957512893,1660.4871879126852,300.0,0.0,0.0
1,34,1.3828955049780913,36.9,186.37517046156728,186.37517046156728,1,0,3438.6218950159164,1755.726390037825,300.0,0.0,0.0
1,35,1.3946162440418601,35.85,199.25849794697712,199.25849794697712,1,0,3571.708575699565,1877.0923316577048,300.0,0.0,0.0
1,36,1.437366922875688,38.15,179.95201615646238,179.95201615646238,1,0,3432.5847081845195,1695.2177853088315,300.0,0.0,0.0
1,37,1.503189160865715,38.95,179.33950436820604,179.33950436820604,1,0,3492.6368475708127,1689.4476867050978,300.0,0.0,0.0
1,38,2.7054155273386233,47.97,206.35053614367243,206.35053614367243,1,0,4949.317609405983,1943.9020820673597,300.0,0.0,0.0
1,39,3.9731260265961073,55.0,236.35053614367243,250.20159427185962,1,0,6499.639743950992,2226.5137173548846,300.0,0.0,0.0
1,40,3.2223236203785226,52.98,206.35053614367243,204.95816907518366,1,0,5466.225702445882,1943.9020820673597,300.0,0.0,0.0
1,41,3.5701483624711465,51.59,236.35053614367243,249.67271252858774,1,0,6096.662079826031,2226.5137173548846,300.0,0.0,0.0
1,42,3.5180316334505295,47.51,266.35053614367246,282.67178204685075,1,0,6327.156986092939,2509.12535264241,300.0,0.0,0.0
