tag,run_dir,last_ep_return,best_val_return
actor_lr=0.0001__critic_lr=0.0005__ou_sigma=15.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.0005__ou_sigma=15.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,33.370734608472105,
actor_lr=0.0001__critic_lr=0.0005__ou_sigma=15.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.0005__ou_sigma=15.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,33.30643119890385,
actor_lr=0.0003__critic_lr=0.001__ou_sigma=45.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.001__ou_sigma=45.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,2.9415734040216455,
actor_lr=0.0001__critic_lr=0.0005__ou_sigma=45.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.0005__ou_sigma=45.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,-1.4114625015230284,
actor_lr=0.0003__critic_lr=0.0005__ou_sigma=45.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.0005__ou_sigma=45.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,-1.4288063232052561,
actor_lr=0.0003__critic_lr=0.001__ou_sigma=45.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.001__ou_sigma=45.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,-1.4505968522853412,
actor_lr=0.0003__critic_lr=0.0005__ou_sigma=30.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.0005__ou_sigma=30.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,-6.286274239895961,
actor_lr=0.0003__critic_lr=0.0005__ou_sigma=30.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.0005__ou_sigma=30.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,-6.513481476611749,
actor_lr=0.0001__critic_lr=0.001__ou_sigma=30.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.001__ou_sigma=30.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,-6.516248655149744,
actor_lr=0.0003__critic_lr=0.001__ou_sigma=30.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.001__ou_sigma=30.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,-6.5181203860011365,
actor_lr=0.0003__critic_lr=0.001__ou_sigma=30.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.001__ou_sigma=30.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,-6.51815474084113,
actor_lr=0.0003__critic_lr=0.0005__ou_sigma=15.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.0005__ou_sigma=15.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,-12.139195369786727,
actor_lr=0.0001__critic_lr=0.0005__ou_sigma=15.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.0005__ou_sigma=15.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,-12.80099635264504,
